participant_id,gender,age,hearing,n_trials
P_20251211_080247,Vīrietis,24,Nē,9
P_20251211_104347,Sieviete,28,Nē,9
P_20251211_172427,Sieviete,24,Nē,9
P_20251211_192845,Vīrietis,28,Nē,9
P_20251212_220245,Vīrietis,24,Nē,9
P_20251213_094736,Vīrietis,35,Nē,9
P_20251213_095146,Sieviete,22,Nē,9
P_20251213_095411,Vīrietis,35,Nē,9
P_20251213_095625,Sieviete,34,Nē,9
P_20251213_095816,Sieviete,34,Nē,9
P_20251213_100006,Sieviete,33,Nē,9
P_20251213_100320,Sieviete,29,Nē,9
P_20251213_100504,Sieviete,25,Nē,9
P_20251213_100656,Sieviete,32,Nē,9
P_20251213_100918,Sieviete,35,Nē,9
P_20251213_101226,Sieviete,30,Nē,9
P_20251213_102633,Sieviete,27,Nē,9
P_20251215_074300,Sieviete,22,Nē,9
P_20251215_081927,Vīrietis,22,Nē,9
P_20251216_201636,Vīrietis,26,Nē,9
P_20251228_164843,Vīrietis,22,Nē,9
P_20251228_165020,Vīrietis,26,Nē,9
